-1 1:1 2:0 3:0.99539 4:-0.05889 5:0.85243 6:0.02306 7:0.83398 8:-0.37708 9:1 10:0.0376 11:0.85243 12:-0.17755 13:0.59755 14:-0.44945 15:0.60536 16:-0.38223 17:0.84356 18:-0.38542 19:0.58212 20:-0.32192 21:0.56971 22:-0.29674 23:0.36946 24:-0.47357 25:0.56811 26:-0.51171 27:0.41078 28:-0.46168 29:0.21266 30:-0.3409 31:0.42267 32:-0.54487 33:0.18641 34:-0.453 
1 1:-0.453 2:0.18641 3:-0.54487 4:0.42267 5:-0.3409 6:0.21266 7:-0.46168 8:0.41078 9:-0.51171 10:0.56811 11:-0.47357 12:0.36946 13:-0.29674 14:0.56971 15:-0.32192 16:0.58212 17:-0.38542 18:0.84356 19:-0.38223 20:0.60536 21:-0.44945 22:0.59755 23:-0.17755 24:0.85243 25:0.0376 26:1 27:-0.37708 28:0.83398 29:0.02306 30:0.85243 31:-0.05889 32:0.99539 33:0 34:1 
-1 1:-0.02447 2:-0.13738 3:-0.06288 4:-0.16626 5:-0.11593 6:-0.1904 7:-0.18401 8:-0.20468 9:-0.26569 10:-0.20332 11:-0.35734 12:-0.18056 13:-0.453 14:-0.13151 15:-1 16:0.33109 17:-0.62237 18:0.05499 19:-0.97515 20:-0.51685 21:-0.69707 22:0.34432 23:-0.67743 24:0.50874 25:-0.04549 26:1 27:-0.93597 28:-0.10868 29:-0.36156 30:0.93035 31:-0.18829 32:1 33:0 34:1 
1 1:-0.38238 2:0.56045 3:-0.2418 4:0.60436 5:-0.17365 6:0.431 7:-0.22145 8:0.58984 9:-0.4022 10:0.57528 11:-0.12062 12:0.43385 13:-0.27502 14:0.70887 15:-0.0854 16:0.75535 17:-0.13644 18:0.83775 19:0.00299 20:0.54591 21:0.00827 22:0.85443 23:0.05346 24:0.73082 25:0.01198 26:0.88965 27:-0.12062 28:1 29:0.00485 30:1 31:-0.03365 32:1 33:0 34:1 
-1 1:1 2:-0.32382 3:1 4:0.25682 5:-0.20099 6:1 7:1 8:0.51613 9:0.90695 10:1 11:0 12:0 13:1 14:-0.69975 15:-0.54467 16:-1 17:-0.3933 18:0.54094 19:0.14516 20:-1 21:0 22:0 23:0 24:0 25:0 26:0 27:-1 28:0.71216 29:1 30:1 31:-0.45161 32:1 33:0 34:1 
1 1:-0.65697 2:-0.04608 3:-0.59573 4:-0.05707 5:-0.62197 6:0.02431 7:-0.53206 8:0.1329 9:-0.65158 10:0.03286 11:-0.52879 12:0.02309 13:-0.35575 14:0.05982 15:-0.17813 16:0.45107 17:-0.2178 18:0.5294 19:-0.27457 20:0.34395 21:-0.00712 22:0.56409 23:-0.20275 24:0.52798 25:-0.16399 26:0.77152 27:-0.23255 28:0.92106 29:0.06531 30:0.9414 31:-0.02401 32:1 33:0 34:1 
-1 1:0.12011 2:-3.9e-4 3:0 4:0 5:0.00732 6:-0.07859 7:0.09223 8:-0.0324 9:-0.01535 10:0.03513 11:0.00888 12:0.01519 13:0.03669 14:0.01838 15:-0.05414 16:-0.11575 17:-0.10196 18:-0.00343 19:-0.1554 20:-0.04572 21:0 22:0 23:-0.06302 24:0.03786 25:0.06637 26:0.14706 27:-0.11824 28:-0.00763 29:-0.11949 30:-0.09924 31:-0.00592 32:0.02337 33:0 34:1 
1 1:-0.80975 2:-0.13832 3:-0.81318 4:-0.04262 5:-0.82395 6:0.04606 7:-0.8251 8:0.13659 9:-0.81634 10:0.22792 11:-0.79753 12:0.31898 13:-0.76562 14:0.36324 15:-0.73641 16:0.37852 17:-0.68086 18:0.57945 19:-0.61436 20:0.74628 21:-0.50764 22:0.78225 23:-0.47929 24:0.79766 25:-0.27342 26:0.85996 27:-0.2835 28:0.92806 29:-0.208 30:0.94601 31:-0.10602 32:0.97588 33:0 34:1 
-1 1:0 2:0 3:1 4:1 5:0 6:0 7:1 8:1 9:1 10:1 11:0 12:0 13:0 14:0 15:-1 16:-1 17:1 18:1 19:0 20:0 21:0 22:0 23:-1 24:-1 25:0 26:0 27:-1 28:1 29:0 30:0 31:0 32:0 33:0 34:0 
1 1:-0.7342 2:0.38895 3:-0.72779 4:0.45114 5:-0.63919 6:0.25435 7:-0.69712 8:0.57577 9:-0.6544 10:0.85106 11:-0.64225 12:0.69637 13:-0.60589 14:0.75346 15:-0.6602 16:0.84537 17:-0.35257 18:0.98305 19:-0.46381 20:0.90392 21:-0.40668 22:0.9451 23:-0.43569 24:0.9257 25:-0.36174 26:1 27:-0.21313 28:1 29:-0.14333 30:1 31:-0.07198 32:0.96355 33:0 34:1 
-1 1:0.38065 2:-0.08208 3:0.24086 4:0.16595 5:0 6:0 7:-0.02294 8:0.20645 9:-0.01326 10:-0.14803 11:0 12:0 13:0 14:0 15:0.22115 16:0.63728 17:0.15018 18:-0.37133 19:0.38602 20:-0.33656 21:0 22:0 23:-0.38172 24:-0.45663 25:-0.2681 26:0.1147 27:0 28:0 29:0 30:0 31:-0.08459 32:-0.01864 33:0 34:1 
1 1:-0.89158 2:0.22995 3:-0.89093 4:0.30996 5:-0.83675 6:0.40303 7:-0.865 8:0.47211 9:-0.89128 10:0.55867 11:-0.80544 12:0.63081 13:-0.7632 14:0.70645 15:-0.70997 16:0.69876 17:-0.66474 18:0.8923 19:-0.59017 20:0.90711 21:-0.51874 22:0.96232 23:-0.41349 24:1 25:-0.43107 26:1 27:-0.2732 28:1 29:-0.18388 30:1 31:0.06655 32:1 33:0 34:1 
-1 1:-1 2:1 3:-1 4:1 5:-1 6:1 7:-0.62745 8:1 9:-0.40888 10:1 11:1 12:1 13:1 14:1 15:-0.93599 16:1 17:-0.29354 18:1 19:-1 20:1 21:1 22:1 23:-0.41119 24:1 25:0.36217 26:1 27:-1 28:1 29:-1 30:1 31:-0.5421 32:1 33:0 34:1 
