@relation boolean
@attribute a0 integer
@attribute a1 integer
@attribute a2 integer
@attribute a3 integer
@attribute a4 integer
@attribute a5 integer
@attribute a6 integer
@attribute a7 integer
@attribute a8 integer
@attribute a9 integer
@attribute result {0, 1}
@data
0,0,1,0,1,1,1,0,0,0,0
0,0,0,1,1,1,1,1,1,1,0
1,0,0,0,1,1,0,1,1,0,0
1,1,1,1,1,1,0,0,1,0,1
1,0,0,1,0,1,0,0,1,1,0
1,1,1,0,0,0,0,1,1,1,1
1,0,1,1,1,1,1,1,1,0,1
0,1,0,1,1,1,1,0,1,1,0
0,1,0,1,1,0,1,0,1,0,0
1,1,0,0,0,1,0,0,1,1,1
1,0,1,0,1,0,1,0,0,0,1
1,1,0,1,1,1,0,0,1,1,1
0,0,1,0,1,1,1,0,1,1,1
1,1,1,1,1,1,0,0,0,0,1
1,0,1,1,0,0,0,1,0,0,0
0,1,1,0,1,0,1,1,0,1,0
0,1,1,0,0,0,0,0,1,1,0
1,1,1,1,0,0,0,1,1,1,1
0,0,1,1,1,0,1,0,0,1,1
0,0,0,0,0,1,1,0,1,1,0
1,0,1,0,1,0,1,0,0,0,1
1,0,0,0,0,0,1,1,1,0,0
0,0,1,1,1,0,1,0,1,1,1
0,0,0,1,0,1,0,1,0,0,0
0,1,0,1,1,1,0,1,0,0,0
1,0,0,0,1,0,0,1,0,1,0
1,1,1,1,0,1,1,0,1,1,1
0,0,0,1,0,1,1,0,1,1,0
0,1,0,0,1,0,1,1,0,0,0
1,0,0,0,0,1,1,1,0,0,0
1,1,1,0,0,1,0,1,1,0,1
0,1,0,0,1,1,1,0,1,1,0
0,1,0,0,1,0,0,1,1,0,0
0,0,0,1,0,0,1,0,0,0,0
0,0,0,0,0,0,1,1,1,0,0
1,0,1,0,1,0,1,0,1,0,0
1,1,0,0,0,1,0,0,1,0,1
0,0,0,0,0,0,0,1,0,1,1
1,0,1,1,0,1,0,1,1,0,1
0,1,1,1,0,1,0,0,1,0,0
0,0,1,1,1,1,0,0,1,1,1
0,0,0,1,1,0,1,0,0,0,0
1,0,0,1,1,0,0,0,0,1,1
0,1,1,0,0,1,0,0,1,1,0
1,1,0,0,1,0,0,0,1,0,0
0,1,0,1,0,0,0,0,1,1,0
1,1,0,0,1,1,0,0,0,1,0
1,0,1,1,1,1,1,0,1,0,1
0,1,0,0,0,1,0,1,0,0,0
0,0,0,1,0,0,0,1,0,0,0
1,1,1,1,0,0,1,1,1,1,1
1,1,0,1,1,1,1,0,0,1,1
0,1,1,0,0,0,1,0,1,0,0
0,1,1,0,0,1,1,1,1,1,0
0,0,1,0,1,0,0,0,1,1,1
1,1,1,1,0,0,1,1,0,0,1
0,1,1,1,0,0,0,1,1,0,0
1,0,0,1,1,1,1,0,1,0,0
0,1,1,1,1,0,1,0,0,0,0
1,1,0,0,1,1,1,0,0,1,1
1,1,0,1,1,0,0,0,0,0,1
0,1,1,1,1,1,1,1,0,0,0
0,1,0,1,0,1,1,1,1,1,0
0,0,0,0,1,1,1,1,0,1,0
0,0,0,0,1,0,0,0,1,1,0
0,1,1,1,0,1,0,0,1,0,0
0,0,1,1,0,0,1,1,0,1,1
0,1,0,1,0,0,1,1,0,0,0
0,0,0,0,0,1,0,1,0,0,0
0,1,1,1,1,1,1,1,1,0,0
0,1,0,1,0,1,1,1,1,0,0
0,0,1,1,1,0,1,1,0,0,1
1,1,1,1,0,0,1,0,0,1,1
0,1,1,0,1,0,1,0,1,0,0
0,1,1,1,1,0,0,1,0,1,0
0,0,1,1,1,1,1,0,1,1,1
1,1,1,1,0,1,1,0,0,0,1
